method,problem_size,time_ns,max_value
DP,9,39937,46
Knapsack,9,40537,46
DP,100,816767,179
Knapsack,100,611095,179
DP,60,432493,131
Knapsack,60,393416,131
DP,10,38340,42
Knapsack,10,54248,42
DP,15,74667,65
Knapsack,15,79324,65
DP,20,106132,67
Knapsack,20,111093,67
DP,12,52594,63
Knapsack,12,59020,63
DP,18,114804,54
Knapsack,18,86125,54
DP,22,127201,94
Knapsack,22,137888,94
DP,30,211739,97
Knapsack,30,206366,97
DP,32,200824,85
Knapsack,32,210182,85
DP,35,135458,106
Knapsack,35,148043,106
DP,40,157513,79
Knapsack,40,148817,79
DP,45,169907,100
Knapsack,45,166829,100
DP,50,295707,123
Knapsack,50,212945,123
DP,55,262408,117
Knapsack,55,269205,117
DP,60,313948,121
Knapsack,60,221628,121
DP,65,316114,119
Knapsack,65,246381,119
DP,70,292020,158
Knapsack,70,227198,158
DP,75,302891,146
Knapsack,75,250537,146
DP,80,374840,155
Knapsack,80,321431,155
DP,85,472600,138
Knapsack,85,324112,138
DP,90,493469,161
Knapsack,90,386501,161
DP,95,557006,148
Knapsack,95,450592,148
DP,100,540534,109
Knapsack,100,303891,109
